"","country","total_cases","total_deaths","total_cases_per_100k","total_deaths_per_100k"
"1","United States",19463947.002,342636.995,5880.29950165323,103.514880652903
"2","Brazil",7537457.291,192213.861,3546.04735046097,90.4283004475234
"3","India",10223903.002,148133.436,740.86018226674,10.7342728479808
"4","Mexico",1394837.427,123384.727,1081.83327707274,95.6969615005429
"5","Italy",2060799.725,72566.714,3408.43106000698,120.020707941546
"6","United Kingdom",2349818.861,71549.426,3461.418735149,105.396431936103
"7","France",2630651.138,63543.424,3860.22072620014,93.2436987920074
"8","Iran",1206545.141,54803.865,1436.48377382326,65.2481702839999
"9","Russia",3046284.864,54604.711,2087.43353968624,37.4172837587504
"10","Spain",1882305.136,50223.146,4025.90925510231,107.418199331606
"11","Argentina",1595460.424,42838.141,3530.10951443539,94.7835037773552
"12","Colombia",1605995.008,42417.152,3156.25782532295,83.3623188496941
"13","Peru",1008177.993,37472.287,3057.69350311778,113.649344959333
"14","Germany",1686255.846,31465.146,2012.62407254755,37.5551019947795
"15","Poland",1266678.289,27477.856,3346.87428106167,72.6032255733374
"16","South Africa",1016045.429,27239.006,1713.1476500324,45.9275124775139
"17","Indonesia",720707.138,21473.573,263.489908244524,7.85071977385091
"18","Turkey",1340127.421,20131.284,1588.97586690163,23.8694649064591
"19","Belgium",640861.285999999,19287.281,5529.61621851837,166.418637166236
"20","Ukraine",1062998.146,18687.285,2430.61234686001,42.729656510889
"21","Chile",602321.849,16463.289,3150.84360607273,86.1221437786122
"22","Romania",620518.573,15360.998,3225.53711512645,79.8484869434893
"23","Canada",561451.002,15350.857,1487.59648792728,40.6729721356413
"24","Ecuador",210217.575,14002.577,1191.50291956157,79.3659206509529
"25","Iraq",592583.849,12787.716,1473.26447834437,31.7924421560737
"26","Netherlands",781631.141,11221.282,4561.63953476632,65.4879788137327
"27","Czechia",683260.715,11188.002,6380.25831960499,104.473067561417
"28","Pakistan",475475.71,9991.291,215.252248843352,4.52314978739574
"29","Hungary",317409.425,9178.577,3285.69280616127,95.012882556015
"30","Philippines",470749.003,9141.568,429.589653177827,8.34228644478196
"31","Bolivia",156247.437,9118.435,1338.53378587512,78.1154146023281
"32","Sweden",412492.862,8407.001,4084.38295045087,83.2436502836344
"33","Bangladesh",510263.434,7479.414,309.833836708223,4.54152773163283
"34","Egypt",133973.433,7465.573,130.917295721166,7.29527195267851
"35","Switzerland",437931.577,7379.433,5060.09135238552,85.265843044719
"36","Bulgaria",199002.718,7300.722,2863.98925227155,105.069868150356
"37","Morocco",433652.859,7277.563,1174.87483933459,19.7167515050843
"38","Portugal",399388.292,6688.148,3916.83601382289,65.5912541176283
"39","Saudi Arabia",362335.008,6195.139,1040.77782568653,17.7950326517878
"40","Austria",354137.864,5981.134,3932.06901758749,66.4098196837805
"41","Guatemala",136064.287,4779.289,759.47519271927,26.6767387267174
"42","Greece",136439.707,4670.57,1309.01826681158,44.8099866296411
"43","Tunisia",133536.565,4523.011,1129.88307939219,38.2702190729914
"44","Bosnia and Herzegovina",110033.429,3977.567,3353.84436489104,121.237162107586
"45","Panama",235453.71,3887.577,5456.92630519185,90.0993286313424
"46","Jordan",289757.863,3775.149,2839.88912236821,36.9998745484233
"47","Croatia",206330.143,3735.143,5025.98473473596,90.9841452494697
